id,publication_year,cited_by_count,author_ids
https://openalex.org/W811475981,2015,27,"https://openalex.org/A5033220444,https://openalex.org/A5100462490,https://openalex.org/A5081215155,https://openalex.org/A5103183228,https://openalex.org/A5061970875,https://openalex.org/A5031607921,https://openalex.org/A5100441678,https://openalex.org/A5015774916,https://openalex.org/A5108050913"
https://openalex.org/W1979864470,2015,22,"https://openalex.org/A5061970875,https://openalex.org/A5100338878,https://openalex.org/A5100350370,https://openalex.org/A5100635897,https://openalex.org/A5004124230,https://openalex.org/A5075888012,https://openalex.org/A5110944816,https://openalex.org/A5100664384,https://openalex.org/A5014715082"
https://openalex.org/W2033348252,2015,38,"https://openalex.org/A5081215155,https://openalex.org/A5033220444,https://openalex.org/A5103183228,https://openalex.org/A5061970875,https://openalex.org/A5031607921,https://openalex.org/A5100442798,https://openalex.org/A5108050913"
https://openalex.org/W2136054752,2015,93,"https://openalex.org/A5101628086,https://openalex.org/A5061970875,https://openalex.org/A5066550306,https://openalex.org/A5050750924,https://openalex.org/A5101619783,https://openalex.org/A5074811599,https://openalex.org/A5103203665"
https://openalex.org/W2005453985,2015,13,"https://openalex.org/A5101708511,https://openalex.org/A5113972007,https://openalex.org/A5100350350,https://openalex.org/A5102146946,https://openalex.org/A5112431755,https://openalex.org/A5061970875"
https://openalex.org/W2091892174,2015,13,"https://openalex.org/A5100432569,https://openalex.org/A5061970875,https://openalex.org/A5101619783,https://openalex.org/A5083445205,https://openalex.org/A5103203665"
https://openalex.org/W2438780802,2015,15,"https://openalex.org/A5100758655,https://openalex.org/A5023516815,https://openalex.org/A5061970875,https://openalex.org/A5100350370,https://openalex.org/A5045655558"
https://openalex.org/W2160718694,2014,310,"https://openalex.org/A5100381793,https://openalex.org/A5100332656,https://openalex.org/A5101446660,https://openalex.org/A5103542775,https://openalex.org/A5023084462,https://openalex.org/A5061970875,https://openalex.org/A5108734696,https://openalex.org/A5013348420"
https://openalex.org/W2103374495,2014,26,"https://openalex.org/A5074811599,https://openalex.org/A5061970875,https://openalex.org/A5030037208,https://openalex.org/A5100734436,https://openalex.org/A5100393123,https://openalex.org/A5103203665,https://openalex.org/A5088721477"
https://openalex.org/W2317409524,2014,24,"https://openalex.org/A5033220444,https://openalex.org/A5081215155,https://openalex.org/A5100338000,https://openalex.org/A5069669916,https://openalex.org/A5101536672,https://openalex.org/A5100338770,https://openalex.org/A5061970875,https://openalex.org/A5031607921,https://openalex.org/A5108050913"
https://openalex.org/W2035174442,2014,205,"https://openalex.org/A5059432303,https://openalex.org/A5061970875"
https://openalex.org/W2166463638,2014,44,"https://openalex.org/A5049482441,https://openalex.org/A5100350370,https://openalex.org/A5061970875,https://openalex.org/A5000908305"
https://openalex.org/W2139834408,2014,13,"https://openalex.org/A5035311905,https://openalex.org/A5061970875,https://openalex.org/A5030037208"
https://openalex.org/W2323206551,2014,36,"https://openalex.org/A5083445205,https://openalex.org/A5100381807,https://openalex.org/A5011943663,https://openalex.org/A5061970875,https://openalex.org/A5100434800"
https://openalex.org/W2116573783,2014,14,"https://openalex.org/A5083445205,https://openalex.org/A5061970875,https://openalex.org/A5100434915"
https://openalex.org/W2155104977,2014,39,"https://openalex.org/A5100381802,https://openalex.org/A5083445205,https://openalex.org/A5061970875,https://openalex.org/A5100765034"
https://openalex.org/W1967869386,2013,42,"https://openalex.org/A5007146869,https://openalex.org/A5100381816,https://openalex.org/A5091014949,https://openalex.org/A5070409783,https://openalex.org/A5045532652,https://openalex.org/A5061970875,https://openalex.org/A5001648352"
https://openalex.org/W2119238689,2013,84,"https://openalex.org/A5004121914,https://openalex.org/A5011546576,https://openalex.org/A5061970875,https://openalex.org/A5102023593,https://openalex.org/A5041383042"
https://openalex.org/W2041940039,2013,17,"https://openalex.org/A5100381802,https://openalex.org/A5083445205,https://openalex.org/A5061970875,https://openalex.org/A5103203665"
https://openalex.org/W2078628527,2013,24,"https://openalex.org/A5100641290,https://openalex.org/A5076742416,https://openalex.org/A5035311905,https://openalex.org/A5042221643,https://openalex.org/A5030386107,https://openalex.org/A5061970875"
https://openalex.org/W2131774529,2013,27,"https://openalex.org/A5026050181,https://openalex.org/A5035672143,https://openalex.org/A5100717315,https://openalex.org/A5065629577,https://openalex.org/A5035311905,https://openalex.org/A5061970875,https://openalex.org/A5018816586,https://openalex.org/A5018559639,https://openalex.org/A5037886669"
https://openalex.org/W2301979075,2013,94,https://openalex.org/A5061970875
https://openalex.org/W1971048565,2013,55,"https://openalex.org/A5074811599,https://openalex.org/A5061970875,https://openalex.org/A5030037208,https://openalex.org/A5100734436,https://openalex.org/A5100393126,https://openalex.org/A5103203665"
https://openalex.org/W2163265582,2013,200,"https://openalex.org/A5101423545,https://openalex.org/A5017339259,https://openalex.org/A5051617727,https://openalex.org/A5113958573,https://openalex.org/A5035311905,https://openalex.org/A5027221805,https://openalex.org/A5061970875,https://openalex.org/A5100373719"
https://openalex.org/W2102221147,2013,11,"https://openalex.org/A5035311905,https://openalex.org/A5061970875,https://openalex.org/A5036708779,https://openalex.org/A5110166338,https://openalex.org/A5029883668,https://openalex.org/A5100734436"
https://openalex.org/W2027707458,2013,12,"https://openalex.org/A5100381802,https://openalex.org/A5083445205,https://openalex.org/A5061970875,https://openalex.org/A5100765034,https://openalex.org/A5049854878,https://openalex.org/A5082289148,https://openalex.org/A5100767423,https://openalex.org/A5103203665"
https://openalex.org/W2133059160,2012,27,"https://openalex.org/A5059432303,https://openalex.org/A5061970875,https://openalex.org/A5030037208,https://openalex.org/A5023516435,https://openalex.org/A5100734436"
https://openalex.org/W2163915477,2012,13,"https://openalex.org/A5100412038,https://openalex.org/A5018298857,https://openalex.org/A5100356073,https://openalex.org/A5061970875"
https://openalex.org/W2005956511,2012,15,"https://openalex.org/A5042320938,https://openalex.org/A5011159264,https://openalex.org/A5050313593,https://openalex.org/A5023502219,https://openalex.org/A5065236992,https://openalex.org/A5040947826,https://openalex.org/A5091135164,https://openalex.org/A5061970875,https://openalex.org/A5042868954"
https://openalex.org/W2133903856,2012,88,"https://openalex.org/A5059432303,https://openalex.org/A5061970875,https://openalex.org/A5030037208,https://openalex.org/A5023516435,https://openalex.org/A5100734436"
https://openalex.org/W4241358192,2012,16,"https://openalex.org/A5083445205,https://openalex.org/A5061970875,https://openalex.org/A5100434800,https://openalex.org/A5103203665"
https://openalex.org/W2045531753,2012,11,"https://openalex.org/A5102805574,https://openalex.org/A5100693873,https://openalex.org/A5037419676,https://openalex.org/A5020876162,https://openalex.org/A5061970875"
https://openalex.org/W1965894121,2012,40,"https://openalex.org/A5112498265,https://openalex.org/A5110929648,https://openalex.org/A5102904467,https://openalex.org/A5035265534,https://openalex.org/A5011678759,https://openalex.org/A5086698209,https://openalex.org/A5061970875,https://openalex.org/A5067248126,https://openalex.org/A5033342186"
https://openalex.org/W1979788428,2012,219,"https://openalex.org/A5018272065,https://openalex.org/A5062308190,https://openalex.org/A5008304712,https://openalex.org/A5079353154,https://openalex.org/A5035311905,https://openalex.org/A5061970875"
https://openalex.org/W2010278636,2012,27,"https://openalex.org/A5039202353,https://openalex.org/A5005799052,https://openalex.org/A5061970875"
